Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Force (N),Acceleration - x (m/så_),Acceleration - y (m/så_),Acceleration - z (m/så_),Acceleration - resultant (m/så_),Angular Velocity - x (rad/s),Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
2.79,-5.51,-60.7,-1.8,-2.5,60.8,-15.6,0.4,11.6
2.8,-5.51,-59.9,-2,-2.5,60,-15.4,-1.6,12.5
2.81,-5.33,-59.6,-1.7,-2.7,59.7,-15.1,-3.6,13.3
2.82,-3.09,-54.4,-1.1,-2.7,54.5,-14.6,-5.6,13.5
2.83,-5.08,-48.3,0.4,-2.4,48.4,-13.9,-7,12.7
2.84,-6.21,-49.4,2.5,-3.2,49.6,-13.5,-7.1,10.5
2.85,-6.57,-61.3,1.9,-4.1,61.5,-13.7,-7.3,7.8
2.86,-6.97,-69.5,-0.4,-5.2,69.7,-13.9,-8.6,6.7
2.87,-7.01,-72.3,-1.3,-5.1,72.5,-14,-9.4,7.5
2.88,-6.82,-73.6,1,-5.4,73.8,-13.7,-10.1,6.7
2.89,-6.72,-74,1.8,-6.6,74.3,-13.3,-11.8,4.9
2.9,-6.61,-72.8,0.4,-7.4,73.1,-12.9,-14.7,3.5
2.91,-6.26,-69.7,-0.1,-6.1,70,-12.6,-16.5,3.5
2.92,-6.12,-66.7,1.4,-4.3,66.9,-12.4,-15.6,2.8
2.93,-5.95,-64.3,2.7,-3.8,64.4,-12.2,-13.5,1
2.94,-5.51,-62.3,2.4,-4.5,62.5,-11.9,-12.4,-1.1
2.95,-5.21,-58.9,1.8,-4.5,59.1,-11.6,-12.2,-2.3
2.96,-5.28,-55.6,2.4,-3.9,55.8,-11.6,-11.7,-3.4
2.97,-5.57,-55.1,3.5,-3.9,55.3,-11.9,-10.6,-5.1
2.98,-5.74,-57.4,4.2,-5,57.8,-12.4,-10.6,-7.5
2.99,-5.87,-60,4.1,-6,60.4,-12.9,-12,-9.8
3,-6.02,-60.7,3.6,-5.2,61,-13.5,-12.7,-11.6
3.01,-6.13,-60.8,2.9,-3.7,61,-14.2,-10.9,-12.7
3.02,-6.09,-61.4,2.4,-3.2,61.5,-14.9,-7.7,-13.5
3.03,-6.03,-61.9,1.4,-3.8,62.1,-15.5,-5.1,-14
3.04,-5.98,-61.5,0.3,-4,61.6,-16,-3.6,-13.8
3.05,-5.8,-60.3,-0.5,-3.5,60.4,-16.4,-1.7,-13
3.06,-5.61,-59.1,-0.2,-3.1,59.1,-16.8,0.5,-12.3
3.07,-5.78,-58.1,0.2,-3.3,58.2,-17,2.5,-12.4
3.08,-6.04,-58.3,-0.3,-3.4,58.4,-17.1,3.7,-12.6
3.09,-6.28,-59.9,-1.2,-2.9,59.9,-17.3,5.4,-12
3.1,-6.42,-62.8,-1.4,-2.4,62.8,-17.4,8.9,-10.9
3.11,-6.55,-65.6,-1.5,-3.4,65.7,-17.1,11.2,-10.4
3.12,-6.51,-67.6,-2.5,-4.5,67.8,-16.5,11.4,-9.7
3.13,-6.29,-67.6,-3.4,-4.4,67.8,-15.7,10.2,-8.1
3.14,-5.99,-65.2,-3.5,-3.3,65.4,-15.1,9.4,-6
3.15,-5.77,-62.2,-3,-2.5,62.3,-14.7,9.8,-4.1
3.16,-5.6,-59.9,-3.1,-2.2,60,-14.5,10.5,-2.3
3.17,-5.42,-58.1,-3.4,-2,58.3,-14.3,11.2,-0.3
3.18,-5.28,-56.6,-3.3,-1.7,56.7,-14.3,11.9,1.9
3.19,-5.22,-55.5,-2.4,-1.7,55.6,-14.3,12.7,3.8
